title,description,cuisine,ingredients,servings,cook_time,steps
Spicy Tomato Semolina(Tomato Rava Upma),Semolina (also called Rava in India) tempered with spices makes for a simple and delicious snack.,Maharashtrian,"4 tablespoons ghee (clarified butter) / butter , 1 cups semolina (or quick cream of wheat) , 1 teaspoons each of mustard and cumin seeds , 1 sprigs curry leaves , 1 teaspoons ginger chopped , 2 green chilli(es) slit / chopped , 2 onions sliced finely , 1 large tomato(es) chopped , 4 tablespoons coriander leaves , 2 tablespoons grated coconut if available , 2 cups hot water , salt to taste, fried cashewnuts to garnish' ",4,11,[' Heat half of the ghee (clarified butter) in a pan. Fry semolina stirring continuously to a golden color on medium / low level for about 2 minutes. Keep aside. Heat the remaining ghee (clarified butter) in a pan. Toss in the mustard seeds followed by the cumin seeds and fry till the seeds splutter fully. Add the curry leaves ginger green chillies and onions. Stir fry on medium level for about 3 minutes or till the onions are transparent and soft. Add the chopped tomatoes and fry on medium level for about 3 minutes or till they are soft and cooked. Add half of the coriander leaves (reserving the rest for garnishing) and fry briefly till they wilt. Mix in the semolina and salt. Add the hot water to this and mix well. Add more hot water if the mixture is dry. Cover and cook on low heat for about 3 minutes or till the mixture is almost dry. Garnish with fried cashewnuts grated coconut and finely chopped coriander leaves ']
Savory Bread(Bread Upma),A unique and quick way of enjoying the humble bread.,Indian,"6 big bread slices cut fine , 1 cups yoghurt beaten well , 1 big tomato(es) finely chopped , 1 teaspoons each of mustard and cumin seeds , ½ teaspoons each of turmeric powder and chilli powder , 4 green chillies finely chopped , 6 curry leaves , 2 tablespoons oil , salt to taste finely chopped coriander leaves to garnish' ",4,13,[' Soak the bread pieces in yoghurt for about 10 minutes. Keep aside. Heat the oil in a pan and toss in the mustard seeds followed by the cumin seeds. Fry till the seeds splutter fully. Add the curry leaves chopped green chillies and tomato(es). Stir fry on medium level for about 3 minutes or till the tomatoes are cooked and soft. Add the bread salt turmeric and chilli powders. Mix well. Cover and keep for some time before serving. Garnish with finely chopped coriander leaves. ']
Quick Cream of Wheat Savory Cakes(Rava Idli),"Semolina (also called Rava in India) tempered with spices, mixed in yoghurt and steamed.",Indian,"2 tablespoons coconut oil , 1 teaspoons mustard seeds , 1 teaspoons split husked Bengal gram (chana dal) , 1 teaspoons split husked black gram (udad dal) , 4 green chillies chopped , 1 tablespoons cashewnut bits , 1 sprig curry leaves , 1 cups semolina (or quick cream of wheat) , 4 cups sour yoghurt , 1 cups coriander leaves chopped , 2 cups grated coconut if available , 1 teaspoons soda bicarbonate , salt to taste' ",4,16,[' Heat the coconut oil in a pan. Toss in the mustard seeds followed by the grams and fry till the seeds splutter fully. Add the green chillies cashewnut bits and curry leaves. Stir-fry on medium level for about 3 minutes or till the grams are red in color. Add the semolina and stir-fry on medium / low level for about 3 minutes or till golden in color and aromatic. Let cool. Once cooled mix in the salt as per taste and the soda bicarbonate. Divide the semolina mixture into two portions to steam then in two batches. Take a portion of semolina mixture and mix in half the quantity of yoghurt coconut and coriander leaves. Keep aside for 15 minutes to ferment. Meanwhile heat water in a steaming vessel. Pour the batter onto greased idli moulds and place it in the steaming vessel. Cover and steam on high level for about 10 minutes or till the idlis are fluffy and well cooked. Repeat the procedure to make the next batch of idlis. ']
Savory Vermicelli(Sevaian Upma),Vermicelli (also called sevaian in India) subly tempered with spices and cooked.,Indian,"2 tablespoons ghee (clarified butter) / butter , 2 cups broken vermicelli , 1 teaspoons mustard seeds , 1 teaspoons husked split black gram , 2 green chilli(es) slit , 1 sprig curry leaves , 2 cups warm water , 4 tablespoons grated coconut if available , salt to taste' ",4,10,[' Heat half of the ghee (clarified butter) in a pan. Fry the vermicelli stirring continuously to a golden color on medium / low level for about 2 minutes. Keep aside. Heat the remaining ghee (clarified butter) in a pan. Toss in the mustard seeds followed by the black gram. Stir fry on medium level for about 2 minutes or till the mustard seeds splutter fully and the gram is red in color. Toss in the green chillies curry leaves and fry briefly. Add the warm water along with salt to taste and bring to a boil. Reduce the heat and add the vermicelli. Cover and cook whilst stirring often on low-medium level for about 3 minutes or till all the water has evaporated and the vermicelli is well cooked. Remove from heat and stir in the grated coconut. ']
Savory Beaten Rice(Kaanda Poha),Beaten rice flakes(also called poha in India) tempered with spices and cooked with sauteed onions (kaanda).,Maharashtrian,"4 cups beaten rice flakes - thick variety (jaada poha) , 2 tablespoons oil , 1 teaspoons mustard seeds , 1 teaspoons cumin seeds , 2 green chilli(es) slit or chopped fine , 1 sprig curry leaves , 2 big onions sliced fine , ½ teaspoons turmeric powder , 4 tablespoons chopped fresh coriander , salt to taste, chopped fresh coriander to garnish' ",4,8,[' Wash the beaten rice in water thoroughly. Drain and Keep aside. Heat the oil in a pan. Toss in the mustard and cumin seeds. Fry till they crackle. Add the green chillies and curry leaves. Add the onions and turmeric powder. Stir-fry on medium / low level for about 4 minutes or till the onions are pinkish. Add the chopped fresh coriander and stir-fry briefly till they wilt. Mix in the beaten rice and salt to taste. Mix in a few tablespoons of water into the beaten rice. Cover and cook on low level for about 4 minutes or till the water has been absorbed by the beaten rice softening it and the flavors are well blended. Do not overcook the beaten rice as it tends to harden. keep covered for a few minutes before serving. ']
Breakfast Lentils(Moong Dal Usli),Split green gram (also called dhuli moong dal in India) tempered with spices and cooked till soft. Served with butteres slices of bread it makes for a simple and nutritious breakfast.,Konkani,"2 tablespoons coconut oil or any oil , 1 teaspoons mustard seeds , 1 dry red chilli(es) broken into bits , 1 teaspoons ginger finely chopped or grated , 2 green chilli(es) slit , ½ teaspoons asafoetida powder , 1 sprigs curry leaves , 2 cups split husked green gram (dhuli moong dal) washed well. , 2 cups hot water or as required , ½ teaspoons sugar , salt to taste , ½ tablespoons grated coconut ",4,5,[' Heat the coconut oil in a pan. Toss in the mustard seeds and the dry red chilli bits. Fry till the mustard seeds splutter fully. Add the ginger green chilli(es) and stir fry on medium / low level for about 2 minutes. Drop in the asafoetida powder and the curry leaves. Fry briefly. Stir in the green gram and mix well. Add the hot water such that it is about and inch above the level of the green gram. Stir in the sugar and salt to taste. Bring to a boil cover and simmer for about 5 minutes or till the water has been absorbed and the grams are cooked but the grains are separate. If they are not cooked then add some more hot water and cook. Stir in the grated coconut and remove from the flame. keep covered for 5 minutes for the flavors to blend well. ']
Carrot Broth(Gajar Soup),"Carrots (called Gajar in India) make a bright, colorful and healthy soup preparation.",Vegetarian,"2 big carrots chopped , 2 medium potato(es) chopped , 1 big onions chopped , 2 tablespoons butter , 1 teacups milk , salt, black pepper and oregano to season. ",4,14,[' Boil the chopped carrots and potato(es) in a vessel for about 7 minutes or till tender and cooked. Cool. Add some water and blend in a liquidizer. Strain and keep aside the puree. Heat butter on medium level in a pan for a few seconds. Add the chopped onions. Fry on medium heat for about 4 minutes or till onions are transparent. Now add the strained puree milk salt and pepper. Stir well. Bring to boil and then keep on low heat for about 3 minutes. Sprinkle oregano. ']
Cream of Vegetable Soup(Sabzi Soup),A nutritious and enjoyable way of having vegetables.,Vegetarian,"200 grams (about 8 oz.) mixed vegetables (beans, carrots, potatoes) finely chopped. , 1 medium onions chopped , 2 tablespoons butter , 1 tablespoons plain flour (maida) , 4 teacups milk , 1 teacups water , salt and pepper to taste ",4,13,[' Boil the vegetables in water on medium heat for about 6 minutes or till tender and cooked. In a pan heat butter on medium level for a few seconds. Add the chopped onions and fry for about 3 minutes or till onions are transparent. Add the flour and milk. Stir well. Now add the vegetables and water. Mix well and keep on medium heat for about 4 minutes. Season with salt and pepper. ']
Quick Tomato Soup(Tamatar ka Soup),A quick and delicious soup. ,Vegetarian,"4 cups tomato juice , 2 teaspoons cornflour dissolved in a little cold water , 1 teaspoons roasted cumin seed powder , 1 teaspoons ginger - garlic paste , 1 tablespoons milk , salt and pepper to season. ",4,7,[' Combine all the ingredients in a vessel except for milk and bring to a boil on medium flame. Let it simmer on low heat for about 4 minutes. Add the milk and let it simmer again on low heat for about 3 minutes. ']
Creamy Spinach Soup(Palak Soup),"Tasty, nutritious and rich with iron. ",Vegetarian,"4 cups spinach leaves , 2 cups water , 1 onions chopped , 1 cups milk , 2 tablespoons plain flour (maida) , 1 tablespoons fresh cream , 2 tablespoons butter , salt and pepper to season. ",4,14,[' Wash the spinach leaves and discard the thick stems. Boil along with the water for 8 minutes or till the spinach is well cooked. Cool and puree in a blender. Keep aside. Heat the butter in a pan. Add the chopped onions and saute on medium heat for 3 minutes or till the onions are transparent. Now add the plain flour and fry briefly on low heat. Add now the spinach puree milk salt and pepper. Simmer on low heat for 3 minutes. Add the fresh cream just before serving. ']
